Population,name_of_P1,name_of_P2,R,CIL,CIU,N,R_type
ACB,P1.anc.YRI.2way.rand.56,P2.anc.YRI.2way.rand.56,-0.306756642062751,-0.659722595906758,0.157088274750299,20,pearson
ACB,P1.anc.YRI.2way.rand.57,P2.anc.YRI.2way.rand.57,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.57,P2.anc.YRI.2way.rand.57,-0.228236690438549,-0.609225967427603,0.238358139569731,20,pearson
ACB,P1.anc.YRI.2way.rand.58,P2.anc.YRI.2way.rand.58,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.58,P2.anc.YRI.2way.rand.58,-0.225288891861591,-0.607268073338692,0.241287001965015,20,pearson
ACB,P1.anc.YRI.2way.rand.59,P2.anc.YRI.2way.rand.59,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.59,P2.anc.YRI.2way.rand.59,-0.134756998881835,-0.544790417954446,0.327280422248213,20,pearson
ACB,P1.anc.YRI.2way.rand.60,P2.anc.YRI.2way.rand.60,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.60,P2.anc.YRI.2way.rand.60,-0.209770664309254,-0.596883973522306,0.256566656218074,20,pearson
ACB,P1.anc.YRI.2way.rand.61,P2.anc.YRI.2way.rand.61,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.61,P2.anc.YRI.2way.rand.61,-0.22213403551318,-0.605167501526031,0.244412204078624,20,pearson
ACB,P1.anc.YRI.2way.rand.62,P2.anc.YRI.2way.rand.62,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.62,P2.anc.YRI.2way.rand.62,-0.260965457929852,-0.630656377575704,0.205259197994249,20,pearson
ACB,P1.anc.YRI.2way.rand.63,P2.anc.YRI.2way.rand.63,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.63,P2.anc.YRI.2way.rand.63,-0.215210271447714,-0.600538736436343,0.251237078288436,20,pearson
ACB,P1.anc.YRI.2way.rand.64,P2.anc.YRI.2way.rand.64,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.64,P2.anc.YRI.2way.rand.64,-0.225146499337976,-0.607173380242011,0.241428264906367,20,pearson
ACB,P1.anc.YRI.2way.rand.65,P2.anc.YRI.2way.rand.65,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.65,P2.anc.YRI.2way.rand.65,-0.256473269912375,-0.627747953734637,0.209866227706376,20,pearson
ACB,P1.anc.YRI.2way.rand.66,P2.anc.YRI.2way.rand.66,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.66,P2.anc.YRI.2way.rand.66,-0.211300908485912,-0.597913740451325,0.255070226209981,20,pearson
ACB,P1.anc.YRI.2way.rand.67,P2.anc.YRI.2way.rand.67,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.67,P2.anc.YRI.2way.rand.67,-0.215311189741092,-0.60060638963086,0.251137933354374,20,pearson
ACB,P1.anc.YRI.2way.rand.68,P2.anc.YRI.2way.rand.68,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.68,P2.anc.YRI.2way.rand.68,-0.203065627428553,-0.592356779058193,0.263097275968484,20,pearson
ACB,P1.anc.YRI.2way.rand.69,P2.anc.YRI.2way.rand.69,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.69,P2.anc.YRI.2way.rand.69,-0.163514026040867,-0.565142058658157,0.300769976771905,20,pearson
ACB,P1.anc.YRI.2way.rand.70,P2.anc.YRI.2way.rand.70,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.70,P2.anc.YRI.2way.rand.70,-0.154378018367708,-0.558728962457221,0.309270743521229,20,pearson
ACB,P1.anc.YRI.2way.rand.71,P2.anc.YRI.2way.rand.71,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.71,P2.anc.YRI.2way.rand.71,-0.2067109860177,-0.594821153194256,0.259552034889974,20,pearson
ACB,P1.anc.YRI.2way.rand.72,P2.anc.YRI.2way.rand.72,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.72,P2.anc.YRI.2way.rand.72,-0.214796694269198,-0.600261426607558,0.251643285771209,20,pearson
ACB,P1.anc.YRI.2way.rand.73,P2.anc.YRI.2way.rand.73,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.73,P2.anc.YRI.2way.rand.73,-0.077008907183584,-0.502408588437771,0.378407253173952,20,pearson
ACB,P1.anc.YRI.2way.rand.74,P2.anc.YRI.2way.rand.74,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.74,P2.anc.YRI.2way.rand.74,-0.237100723772347,-0.615085505871544,0.22949961663536,20,pearson
ACB,P1.anc.YRI.2way.rand.75,P2.anc.YRI.2way.rand.75,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.75,P2.anc.YRI.2way.rand.75,-0.164019864631505,-0.565495723749672,0.300297144561133,20,pearson
ACB,P1.anc.YRI.2way.rand.76,P2.anc.YRI.2way.rand.76,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.76,P2.anc.YRI.2way.rand.76,-0.149879657586185,-0.555553434159209,0.313429278625509,20,pearson
ACB,P1.anc.YRI.2way.rand.77,P2.anc.YRI.2way.rand.77,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.77,P2.anc.YRI.2way.rand.77,-0.194061697393331,-0.586238468916427,0.271800297958522,20,pearson
ACB,P1.anc.YRI.2way.rand.78,P2.anc.YRI.2way.rand.78,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.78,P2.anc.YRI.2way.rand.78,-0.224062521871413,-0.606452163563292,0.24250299547779,20,pearson
ACB,P1.anc.YRI.2way.rand.79,P2.anc.YRI.2way.rand.79,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.79,P2.anc.YRI.2way.rand.79,-0.219631411926222,-0.603497398301557,0.246884429405019,20,pearson
ACB,P1.anc.YRI.2way.rand.80,P2.anc.YRI.2way.rand.80,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.80,P2.anc.YRI.2way.rand.80,-0.26484948539979,-0.63316271054162,0.201259151339637,20,pearson
ACB,P1.anc.YRI.2way.rand.81,P2.anc.YRI.2way.rand.81,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.81,P2.anc.YRI.2way.rand.81,-0.243211060553974,-0.619100557803756,0.223347733293068,20,pearson
ACB,P1.anc.YRI.2way.rand.82,P2.anc.YRI.2way.rand.82,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.82,P2.anc.YRI.2way.rand.82,-0.198991321910537,-0.589593775961514,0.26704484014018,20,pearson
ACB,P1.anc.YRI.2way.rand.83,P2.anc.YRI.2way.rand.83,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.83,P2.anc.YRI.2way.rand.83,-0.213830799818148,-0.599613418416653,0.252591328921381,20,pearson
ACB,P1.anc.YRI.2way.rand.84,P2.anc.YRI.2way.rand.84,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.84,P2.anc.YRI.2way.rand.84,-0.228077430527072,-0.609120307379421,0.238516593603354,20,pearson
ACB,P1.anc.YRI.2way.rand.85,P2.anc.YRI.2way.rand.85,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
