group,name_of_1,name_of_2,R,CIL,CIU,n,R_type
ACB,P1.anc.YRI.2way.rand.54,P2.anc.YRI.2way.rand.54,-0.215730822442621,-0.600887642138061,0.250725569546085,20,pearson
ACB,P1.anc.YRI.2way.rand.55,P2.anc.YRI.2way.rand.55,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.55,P2.anc.YRI.2way.rand.55,-0.197665588159013,-0.588692749859231,0.268325969976189,20,pearson
ACB,P1.anc.YRI.2way.rand.56,P2.anc.YRI.2way.rand.56,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.56,P2.anc.YRI.2way.rand.56,-0.223084343162191,-0.605800798788103,0.243471847852937,20,pearson
ACB,P1.anc.YRI.2way.rand.57,P2.anc.YRI.2way.rand.57,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.57,P2.anc.YRI.2way.rand.57,-0.199318176296763,-0.589815771077482,0.266728729339442,20,pearson
ACB,P1.anc.YRI.2way.rand.58,P2.anc.YRI.2way.rand.58,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.58,P2.anc.YRI.2way.rand.58,-0.186337941996337,-0.580954166249016,0.279205698640849,20,pearson
ACB,P1.anc.YRI.2way.rand.59,P2.anc.YRI.2way.rand.59,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.59,P2.anc.YRI.2way.rand.59,-0.196900418385526,-0.588172264713083,0.269064646370976,20,pearson
ACB,P1.anc.YRI.2way.rand.60,P2.anc.YRI.2way.rand.60,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.60,P2.anc.YRI.2way.rand.60,-0.21980161199183,-0.603611086617167,0.246716488919882,20,pearson
ACB,P1.anc.YRI.2way.rand.61,P2.anc.YRI.2way.rand.61,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.61,P2.anc.YRI.2way.rand.61,-0.222921583893143,-0.605692368320641,0.24363296501251,20,pearson
ACB,P1.anc.YRI.2way.rand.62,P2.anc.YRI.2way.rand.62,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.62,P2.anc.YRI.2way.rand.62,-0.187466530412668,-0.58172838481478,0.278127071642239,20,pearson
ACB,P1.anc.YRI.2way.rand.63,P2.anc.YRI.2way.rand.63,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.63,P2.anc.YRI.2way.rand.63,-0.21929267728621,-0.603271087716038,0.247218583630288,20,pearson
ACB,P1.anc.YRI.2way.rand.64,P2.anc.YRI.2way.rand.64,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.64,P2.anc.YRI.2way.rand.64,-0.217474031293218,-0.602054981582212,0.249010742510874,20,pearson
ACB,P1.anc.YRI.2way.rand.65,P2.anc.YRI.2way.rand.65,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.65,P2.anc.YRI.2way.rand.65,-0.213645816901941,-0.599489257624471,0.252772790929053,20,pearson
ACB,P1.anc.YRI.2way.rand.66,P2.anc.YRI.2way.rand.66,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.66,P2.anc.YRI.2way.rand.66,-0.2484187511338,-0.622507047200429,0.21807513043219,20,pearson
ACB,P1.anc.YRI.2way.rand.67,P2.anc.YRI.2way.rand.67,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.67,P2.anc.YRI.2way.rand.67,-0.2663671785273,-0.634139972030896,0.199691887967066,20,pearson
ACB,P1.anc.YRI.2way.rand.68,P2.anc.YRI.2way.rand.68,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.68,P2.anc.YRI.2way.rand.68,-0.222807171009464,-0.605616137777201,0.243746208151513,20,pearson
ACB,P1.anc.YRI.2way.rand.69,P2.anc.YRI.2way.rand.69,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.69,P2.anc.YRI.2way.rand.69,-0.214915483112561,-0.600341085833281,0.251526630492831,20,pearson
ACB,P1.anc.YRI.2way.rand.70,P2.anc.YRI.2way.rand.70,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.70,P2.anc.YRI.2way.rand.70,-0.209973594709484,-0.597020607482423,0.256368338519103,20,pearson
ACB,P1.anc.YRI.2way.rand.71,P2.anc.YRI.2way.rand.71,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.71,P2.anc.YRI.2way.rand.71,-0.235123387706171,-0.613782002759456,0.231482445030702,20,pearson
ACB,P1.anc.YRI.2way.rand.72,P2.anc.YRI.2way.rand.72,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.72,P2.anc.YRI.2way.rand.72,-0.220549394903604,-0.604110397326555,0.245978301439501,20,pearson
ACB,P1.anc.YRI.2way.rand.73,P2.anc.YRI.2way.rand.73,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.73,P2.anc.YRI.2way.rand.73,-0.204039564376155,-0.593015904174697,0.262151318459289,20,pearson
ACB,P1.anc.YRI.2way.rand.74,P2.anc.YRI.2way.rand.74,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.74,P2.anc.YRI.2way.rand.74,-0.193132302439408,-0.585604373147567,0.272694315035885,20,pearson
ACB,P1.anc.YRI.2way.rand.75,P2.anc.YRI.2way.rand.75,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.75,P2.anc.YRI.2way.rand.75,-0.12481134845087,-0.537637540658023,0.336282880466521,20,pearson
ACB,P1.anc.YRI.2way.rand.76,P2.anc.YRI.2way.rand.76,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.76,P2.anc.YRI.2way.rand.76,-0.225745954861258,-0.60757195356599,0.240833431155938,20,pearson
ACB,P1.anc.YRI.2way.rand.77,P2.anc.YRI.2way.rand.77,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.77,P2.anc.YRI.2way.rand.77,-0.233619393690844,-0.612789152761071,0.232988025275966,20,pearson
ACB,P1.anc.YRI.2way.rand.78,P2.anc.YRI.2way.rand.78,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.78,P2.anc.YRI.2way.rand.78,-0.165956230458848,-0.566848201666955,0.298485017005626,20,pearson
ACB,P1.anc.YRI.2way.rand.79,P2.anc.YRI.2way.rand.79,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.79,P2.anc.YRI.2way.rand.79,-0.200360027611109,-0.590522988837393,0.265720453638957,20,pearson
ACB,P1.anc.YRI.2way.rand.80,P2.anc.YRI.2way.rand.80,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.80,P2.anc.YRI.2way.rand.80,-0.265671837805393,-0.633692379283213,0.200410235728765,20,pearson
ACB,P1.anc.YRI.2way.rand.81,P2.anc.YRI.2way.rand.81,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.81,P2.anc.YRI.2way.rand.81,-0.236078397161409,-0.614411823720764,0.230525266690567,20,pearson
ACB,P1.anc.YRI.2way.rand.82,P2.anc.YRI.2way.rand.82,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.82,P2.anc.YRI.2way.rand.82,-0.217253970641146,-0.601907708627351,0.249227381706947,20,pearson
