Population,Type,Individual,Cluster,Ancestry
IBS,Reference,216,K3,1e-05
IBS,Reference,217,K1,1.2e-05
IBS,Reference,217,K2,0.999978
IBS,Reference,217,K3,1e-05
IBS,Reference,218,K1,1.2e-05
IBS,Reference,218,K2,0.999978
IBS,Reference,218,K3,1e-05
IBS,Reference,219,K1,1.2e-05
IBS,Reference,219,K2,0.999978
IBS,Reference,219,K3,1e-05
IBS,Reference,220,K1,1.2e-05
IBS,Reference,220,K2,0.999978
IBS,Reference,220,K3,1e-05
IBS,Reference,221,K1,1.2e-05
IBS,Reference,221,K2,0.999978
IBS,Reference,221,K3,1e-05
IBS,Reference,222,K1,1.2e-05
IBS,Reference,222,K2,0.999978
IBS,Reference,222,K3,1e-05
IBS,Reference,223,K1,1.2e-05
IBS,Reference,223,K2,0.999978
IBS,Reference,223,K3,1e-05
IBS,Reference,224,K1,1.1e-05
IBS,Reference,224,K2,0.999979
IBS,Reference,224,K3,1e-05
IBS,Reference,225,K1,1.1e-05
IBS,Reference,225,K2,0.999979
IBS,Reference,225,K3,1e-05
IBS,Reference,226,K1,1.1e-05
IBS,Reference,226,K2,0.999979
IBS,Reference,226,K3,1e-05
IBS,Reference,227,K1,1.1e-05
IBS,Reference,227,K2,0.999979
IBS,Reference,227,K3,1e-05
IBS,Reference,228,K1,1.1e-05
IBS,Reference,228,K2,0.999979
IBS,Reference,228,K3,1e-05
IBS,Reference,229,K1,1.1e-05
IBS,Reference,229,K2,0.999979
IBS,Reference,229,K3,1e-05
IBS,Reference,230,K1,1.1e-05
IBS,Reference,230,K2,0.999979
IBS,Reference,230,K3,1e-05
IBS,Reference,231,K1,1.1e-05
IBS,Reference,231,K2,0.999979
IBS,Reference,231,K3,1e-05
IBS,Reference,232,K1,1.1e-05
IBS,Reference,232,K2,0.999979
IBS,Reference,232,K3,1e-05
IBS,Reference,233,K1,1.1e-05
IBS,Reference,233,K2,0.999979
IBS,Reference,233,K3,1e-05
IBS,Reference,234,K1,1.1e-05
IBS,Reference,234,K2,0.999979
IBS,Reference,234,K3,1e-05
IBS,Reference,235,K1,1.1e-05
IBS,Reference,235,K2,0.999979
IBS,Reference,235,K3,1e-05
IBS,Reference,236,K1,1.1e-05
IBS,Reference,236,K2,0.999979
IBS,Reference,236,K3,1e-05
IBS,Reference,237,K1,1.1e-05
IBS,Reference,237,K2,0.999979
IBS,Reference,237,K3,1e-05
IBS,Reference,238,K1,1.1e-05
IBS,Reference,238,K2,0.999979
IBS,Reference,238,K3,1e-05
IBS,Reference,239,K1,1.1e-05
IBS,Reference,239,K2,0.999979
IBS,Reference,239,K3,1e-05
IBS,Reference,240,K1,1.1e-05
IBS,Reference,240,K2,0.999979
IBS,Reference,240,K3,1e-05
IBS,Reference,241,K1,1.1e-05
IBS,Reference,241,K2,0.999979
IBS,Reference,241,K3,1e-05
IBS,Reference,242,K1,1e-05
IBS,Reference,242,K2,0.9761
IBS,Reference,242,K3,0.02389
IBS,Reference,243,K1,1e-05
IBS,Reference,243,K2,0.978751
IBS,Reference,243,K3,0.021239
IBS,Reference,244,K1,1e-05
IBS,Reference,244,K2,0.99998
IBS,Reference,244,K3,1e-05
IBS,Reference,245,K1,1e-05
IBS,Reference,245,K2,0.99998
IBS,Reference,245,K3,1e-05
IBS,Reference,246,K1,1e-05
IBS,Reference,246,K2,0.99998
IBS,Reference,246,K3,1e-05
IBS,Reference,247,K1,1e-05
IBS,Reference,247,K2,0.99998
IBS,Reference,247,K3,1e-05
IBS,Reference,248,K1,1e-05
IBS,Reference,248,K2,0.99998
IBS,Reference,248,K3,1e-05
IBS,Reference,249,K1,1e-05
IBS,Reference,249,K2,0.99998
IBS,Reference,249,K3,1e-05
IBS,Reference,250,K1,1e-05
IBS,Reference,250,K2,0.99998
IBS,Reference,250,K3,1e-05
IBS,Reference,251,K1,1e-05
IBS,Reference,251,K2,0.99998
IBS,Reference,251,K3,1e-05
IBS,Reference,252,K1,1e-05
IBS,Reference,252,K2,0.99998
IBS,Reference,252,K3,1e-05
IBS,Reference,253,K1,1e-05
IBS,Reference,253,K2,0.99998
IBS,Reference,253,K3,1e-05
IBS,Reference,254,K1,1e-05
IBS,Reference,254,K2,0.99998
IBS,Reference,254,K3,1e-05
IBS,Reference,255,K1,1e-05
IBS,Reference,255,K2,0.99998
