coh,id,adm.NAM,adm.IBS,adm.YRI,p1,p2,sex,rfm.NAM,rfm.IBS,rfm.YRI,P1.anc.NAM,P1.anc.IBS,P1.anc.YRI,P2.anc.NAM,P2.anc.IBS,P2.anc.YRI.2,P1.anc.NonYRI.2way,P1.anc.YRI.2way,P2.anc.NonYRI.2way,P2.anc.YRI.2way,adm.NonYRI,P1.sex,P1.adm.NAM,P1.adm.IBS,P1.adm.YRI,P1.adm.NonYRI,P1.rfm.NAM,P1.rfm.IBS,P1.rfm.YRI,P2.sex,P2.adm.NAM,P2.adm.IBS,P2.adm.YRI,P2.adm.NonYRI,P2.rfm.NAM,P2.rfm.IBS,P2.rfm.YRI,P1.anc.NonYRI.2way.rand,P2.anc.NonYRI.2way.rand,P1.anc.YRI.2way.rand,P2.anc.YRI.2way.rand
PUR,HG00555,0.166495,0.707484,0.12602,HG00553,HG00554,2,0.175451117658304,0.697206766211305,0.127342116130391,0.531,0.469,0,0.531,0.469,0,0.865,0.135,0.874,0.126,0.873979,1,0.199922,0.624977,0.175101,0.824899,0.202468246740182,0.628307003114188,0.16922475014563,2,0.117216,0.812407,0.070377,0.929623,0.120712616244336,0.803309166412515,0.0759782173431494,0.874,0.865,0.135,0.126
PUR,HG00639,0.136135,0.726641,0.137224,HG00637,HG00638,2,0.138327066556233,0.727900601548598,0.133772331895169,0.154,0.635,0.211,0.1,0.821,0.079,0.769,0.231,0.941,0.059,0.862776,1,0.131949,0.729331,0.13872,0.86128,0.129440538470145,0.732742646287011,0.137816815242844,2,0.151601,0.684637,0.163761,0.836238,0.144728638839919,0.690609660973614,0.164661700186467,0.769,0.941,0.231,0.059
PUR,HG00642,0.126726,0.823059,0.050215,HG00640,HG00641,1,0.136829595703467,0.801978138232023,0.0611922660645098,0.11,0.796,0.094,0.191,0.78,0.029,0.962,0.038,0.899,0.101,0.949785,1,0.112123,0.835179,0.052698,0.947302,0.124962260832763,0.811369938029485,0.0636678011377525,2,0.161419,0.772859,0.065722,0.934278,0.165282731890995,0.755203890240683,0.0795133778683229,0.962,0.899,0.038,0.101
PUR,HG00733,0.111609,0.882318,0.006072,HG00731,HG00732,2,0.114940344681138,0.85460834568225,0.030451309636612,0.131,0.867,0.002,0.056,0.875,0.069,0.953,0.047,0.951,0.049,0.993927,1,0.080575,0.919415,1e-05,0.99999,0.0804924547775771,0.897677764789143,0.0218297804332801,2,0.130263,0.842789,0.026948,0.973052,0.131746838990151,0.825263451136863,0.0429897098729853,0.953,0.951,0.049,0.047
PUR,HG00735,0.145827,0.773111,0.081062,HG01047,HG00734,2,0.140994328945692,0.770671133991399,0.088334537062909,0.111,0.802,0.087,0.185,0.745,0.07,0.95,0.05,0.864,0.136,0.918938,1,0.098389,0.833372,0.068239,0.931761,0.0951684717381607,0.82485717941047,0.0799743488513691,2,0.203635,0.700711,0.095654,0.904346,0.196901512905127,0.700302675604709,0.102795811490164,0.95,0.864,0.136,0.05
PUR,HG00738,0.11631,0.833614,0.050076,HG00736,HG00737,1,0.126540592276619,0.810897804150805,0.0625616035725755,0.132,0.855,0.013,0.084,0.803,0.113,0.9,0.1,0.97,0.03,0.949924,1,0.112968,0.839125,0.047908,0.952093,0.118698806018962,0.823040227588326,0.0582609663927126,2,0.107879,0.822376,0.069744,0.930255,0.10867842874842,0.810178939305196,0.0811426319463841,0.9,0.97,0.03,0.1
PUR,HG00741,0.115778,0.801065,0.083157,HG00739,HG00740,2,0.120537820714228,0.79012006370507,0.0893421155807018,0.105,0.851,0.044,0.118,0.765,0.117,0.886,0.114,0.925,0.075,0.916843,1,0.069958,0.895011,0.035031,0.964969,0.0629097912159644,0.891142906534748,0.0459473022492878,2,0.146347,0.735803,0.11785,0.88215,0.150320475394512,0.723598297499739,0.126081227105748,0.886,0.925,0.114,0.075
PUR,HG01050,0.157266,0.68065,0.162084,HG01048,HG01049,2,0.153603754818862,0.681081795073024,0.165314450108114,0.159,0.626,0.215,0.175,0.716,0.109,0.914,0.086,0.76,0.24,0.837916,1,0.141643,0.760934,0.097423,0.902577,0.134227505328416,0.767782980664606,0.0979895140069779,2,0.130026,0.643343,0.226631,0.773369,0.138742018675589,0.634602379430499,0.226655601893912,0.914,0.76,0.24,0.086
PUR,HG01053,0.188859,0.637325,0.173816,HG01051,HG01052,2,0.181506627538769,0.641835799090652,0.176657573370578,0.15,0.479,0.371,0.258,0.651,0.091,0.625,0.375,0.933,0.067,0.826184,1,0.18581,0.611379,0.202811,0.797189,0.179025714125092,0.615185356266646,0.205788929608262,2,0.179856,0.609755,0.210389,0.789611,0.17865304714696,0.611186778213416,0.210160174639623,0.933,0.625,0.067,0.375
PUR,HG01056,0.126135,0.795557,0.078308,HG01054,HG01055,1,0.128942577022445,0.787922029210058,0.0831353937674961,0.095,0.754,0.15,0.165,0.788,0.047,0.917,0.083,0.893,0.107,0.921692,1,0.157072,0.793097,0.049831,0.950169,0.159504462696756,0.77990649019446,0.0605890471087838,2,0.108487,0.777373,0.114141,0.88586,0.107873539293185,0.770514341322874,0.12161211938394,0.893,0.917,0.083,0.107
